STREET1,STREET2,1HASLANE,2HASLANE,BLFinal
Bowdoin Street,Corona Street,0.0,0.0,0
Bowdoin Street,Geneva Avenue,0.0,0.0,0
Commonwealth Avenue,Alcorn Street,1.0,0.0,0
Centre Place,Centre Street,0.0,1.0,0
Dudley Street,Washington Street,0.0,1.0,0
Huntington Avenue,Garrison Street,1.0,0.0,0
Everett Street,Clevemont Avenue,0.0,0.0,0
Centre Street,Pershing Road,1.0,0.0,0
Dorchester Avenue,O'Connor Way,1.0,0.0,0
Washington Street,Breck Avenue,1.0,0.0,0
Warren Street,Dale Street,1.0,0.0,0
Washington Street,Hayward Place,1.0,0.0,0
Huntington Avenue,Forsyth Street,1.0,1.0,0
Harcourt Street,Huntington Avenue,0.0,1.0,0
Seaver Street,Elm Hill Avenue,0.0,0.0,0
East Concord Street,Washington Street,0.0,1.0,0
Kneeland Street,Hudson Street,0.0,0.0,0
Harvard Avenue,Commonwealth Avenue Frontage Road Wb,1.0,1.0,0
Dorchester Avenue,Linden Street,1.0,0.0,0
Harvard Avenue,Brighton Avenue,1.0,1.0,1
Massachusetts Avenue,Chesterton Street,1.0,0.0,0
Berkeley Street,Commonwealth Avenue,0.0,1.0,0
Atlantic Avenue,Summer Street,1.0,0.0,0
Amory Street,Bragdon Street,0.0,0.0,0
Adams Street,Elmdale Street,1.0,0.0,0
Tremont Street,Columbus Avenue,0.0,1.0,0
Belvidere Street,Huntington Avenue,1.0,1.0,0
Washington Street,Walton Street,1.0,0.0,0
Dorchester Avenue,Woodward Street,1.0,0.0,0
Clearway Street,Massachusetts Avenue,0.0,1.0,0
Tremont Street,Saint Alphonsus Street,0.0,0.0,0
Dorchester Avenue,Orchardfield Street,1.0,0.0,0
Bay State Road,Sherborn Street,0.0,0.0,0
Columbia Road,Bird Street,1.0,0.0,0
Ruggles Street,Parker Street,1.0,0.0,0
Columbia Road,Massachusetts Avenue,1.0,1.0,0
West Concord Street,Tremont Street,0.0,0.0,0
Blackfan Street,Longwood Avenue,0.0,0.0,0
Massachusetts Avenue,Huntington Avenue,1.0,1.0,0
Belvidere Street,Huntington Avenue,1.0,1.0,0
Dorchester Avenue,Boston Street,1.0,0.0,0
Massachusetts Avenue,Marlborough Street,1.0,0.0,0
Fenway,Boylston Street,0.0,1.0,0
Kelton Street,Scottfield Road,0.0,0.0,0
Washington Street,Hayward Place,1.0,0.0,0
Commonwealth Avenue,Grahm Street,1.0,0.0,0
Bromfield Street,Tremont Street,0.0,0.0,0
Davenport Street,Columbus Avenue,0.0,1.0,1
Lubec Street,Porter Street,0.0,0.0,0
Babbitt Street,Cummington Mall,0.0,0.0,0
Parker Street,Gore Street,0.0,0.0,0
South Huntington Avenue,Heath Street,1.0,0.0,0
South Bay Harbor Trail,Frontage Road,1.0,0.0,0
