STREET1,STREET2,1HASLANE,2HASLANE
Bexley Road,Washington Street,0,1
Commonwealth Avenue,Naples Road,1,0
Columbia Road,Boston HarborWalk,1,0
Boylston Street,Tremont Street,1,0
Rusfield Street,Massachusetts Avenue,0,1
Chestnut Hill Avenue,Hatherly Road,1,0
Harvard Street,City Square,0,1
D Street,West Ninth Street,1,0
Warren Street,Dale Street,1,0
Boylston Street,Lamartine Street,1,0
Washington Street,Tremont Street,1,0
Blue Hill Avenue,Adrian Street,1,0
River Street,Hyde Park Avenue,1,0
Wyman Street,Centre Street,0,1
Massachusetts Avenue,Public Alley 715,1,0
Massachusetts Avenue,Allstate Road,1,0
Massachusetts Avenue,Westland Avenue,1,0
Blue Hill Avenue,Creston Street,1,0
Centre Street,Greenview Avenue,1,0
Winship Street,Peaceable Street,1,0
Boylston Street,Adelaide Street,1,0
Federal Street,Franklin Street,0,1
Huntington Avenue,Gainsborough Street,1,0
Washington Street,Montebello Road,1,0
Clarendon Street,Commonwealth Avenue,0,1
Warren Street,Waverly Street,1,0
Harris Avenue,Centre Street,0,1
Atlantic Avenue,State Street,1,0
Harvard Avenue,Farrington Avenue,1,0
Blue Hill Avenue,Georgia Street,1,0
Baker Street,Brook Farm Road,1,0
Cambridge Street,Hano Street,1,0
Commonwealth Avenue,Hinsdale Mall,1,0
Columbus Avenue,Cunard Street,1,0
Atlantic Avenue,Richmond Street,1,0
Saybrook Street,Market Street,0,1
Talbot Avenue,Aspinwall Road,1,0
Kimball Street,Freeport Street,0,1
Washington Street,Burnett Street,1,0
Blue Hill Avenue,Johnston Road,1,0
Freeport Street,Victory Road,1,0
Saratoga Street,Shawsheen Road,1,0
Corey Street,Veterans Of Foreign Wars Parkway,0,1
Massachusetts Avenue,Marlborough Street,1,0
Morton Street,Fuller Street,1,0
Massachusetts Avenue,Napa Street,1,0
Harrison Avenue,East Lenox Street,1,0
Shawmut Avenue,Massachusetts Avenue,0,1
Commonwealth Avenue,Massachusetts Turnpike,1,0
Western Avenue,Travis Street,1,0
Hemenway Street,Hemenway Terrace,1,0
Cambridge Street,Lincoln Street,1,0
Public Alley 905,Massachusetts Avenue,0,1
Massachusetts Avenue,Chesterton Street,1,0
Washington Street,Torrey Street,1,0
Cummins Highway,Hyde Park Avenue,1,0
Brighton Avenue,Craftsman Street,1,0
Annunciation Road,Ruggles Street,0,1
Belgrade Avenue,Pinehurst Street,1,0
Dorchester Avenue,Charles Street,1,0
La Grange Street,Washington Street,0,1
Warren Street,Zeigler Street,1,0
West Newton Street,Belvidere Street,0,1
Summer Street,D Street,0,1
Kneeland Street,South Street,0,1
Commonwealth Avenue,Buick Street,1,0
Washington Street,Dimock Street,1,0
Brookline Avenue,Newbury Street,1,0
Saint Marys Street,Commonwealth Avenue,0,1
Albany Street,Hampden Street,1,0
Langley Road,Washington Street,0,1
Commonwealth Avenue Frontage Road Wb,Allston Street,1,0
Blue Hill Avenue,Paxton Street,1,0
Washington Street,Academy Hill Road,1,0
Coventry Street,Columbus Avenue,0,1
Huntington Avenue,Calumet Street,1,0
Commonwealth Avenue,Carlton Street,1,0
Beacon Street,Berkeley Street,1,0
Adams Street,Gibson Street,1,0
Clarendon Street,Stuart Street,0,1
Huntington Avenue,Wait Street,1,0
Faneuil Street,Turner Street,1,0
Columbus Avenue,Northampton Street,1,0
Riverdale Street,Western Avenue,0,1
Parker Street,Ruggles Street,0,1
Chelsea Street,Fifth Street,1,0
Granby Street,Commonwealth Avenue,0,1
Huntington Avenue,Fenwood Road,1,0
Green Street,Washington Street,0,1
Blandford Mall,Commonwealth Avenue,0,1
Centre Street,Pershing Road,1,0
Mount Hope Street,American Legion Highway,0,1
Washington Street,Weymouth Avenue,1,0
Corinth Street,Birch Street,1,0
Swift Street,Saratoga Street,0,1
Hudson Street,Harrison Avenue,0,1
Cambridge Street,Lynde Street,1,0
Franklin Street,Aldie Street,1,0
Dorchester Avenue,Greenwich Street,1,0
Elm Hill Avenue,Warren Street,0,1
Beacon Street,Clarendon Street,1,0
Beacon Street,Spruce Street,1,0
Walworth Street,Belgrade Avenue,0,1
Centre Street,Spring Street,1,0
Washington Street,Circuit Street,1,0
Devonshire Street,Spring Lane,1,0
Washington Street,Parsons Street,1,0
Commonwealth Avenue,Amory Street,1,0
Kenmore Street,Commonwealth Avenue,0,1
Commonwealth Avenue,Cummington Mall,1,0
Washington Street,High View Avenue,1,0
Ruggles Street,Parker Street,1,0
Hemenway Street,Westland Avenue,1,0
Centre Street,Bellevue Street,1,0
Baker Street,Spring Street,1,0
Maitland Street,Beacon Street,0,1
Dorchester Avenue,Ellet Street,1,0
Brookline Avenue,Fullerton Street,1,0
Commonwealth Avenue,Winslow Road,1,0
Back Street,Dartmouth Street,0,1
Warren Street,Dudley Street,1,0
Commonwealth Avenue,Charlesgate East,1,0
Lawrence Place,Market Street,0,1
Washington Street,Malcolm X Boulevard,1,0
Commonwealth Avenue,Granby Street,1,0
Blue Hill Avenue,Woodcliff Street,1,0
Meridian Street,Princeton Street,1,0
Brighton Avenue,Quint Avenue,1,0
Washington Street,Murray Hill Road,1,0
Harrison Avenue,Herald Street,1,0
Boylston Street,Berkeley Street,1,0
Cambridge Street,Blossom Street,1,0
Dorchester Avenue,Welles Avenue,1,0
Kilby Street,State Street,1,0
A Street,West Third Street,1,0
Saint James Avenue,Arlington Street,0,1
Centre Street,Lester Place,1,0
Arborway,Centre Street,0,1
Columbus Avenue,Eliot Street,1,0
Father Herlihy Drive,Commonwealth Avenue,0,1
Blue Hill Avenue,Winthrop Street,1,0
Saratoga Street,Prescott Street,1,0
South Street,Arborway,1,0
Warren Street,Palmer Street,1,0
Dorchester Avenue,West Fifth Street,1,0
Cambridge Street,Highgate Street,1,0
Centre Street,Robinwood Avenue,1,0
Court Street,Cambridge Street,0,1
Cambridge Street,Irving Street,1,0
Craftsman Street,Cambridge Street,0,1
Somerset Street,Cambridge Street,0,1
Summer Street,Dorchester Avenue,0,1
Sleeper Street,Northern Avenue,0,1
Longwood Avenue,Brookline Avenue,0,1
John F. Fitzgerald Surface Road,Summer Street,1,0
North Harvard Street,Gordon Road,1,0
A Street,West Second Street,1,0
Cambridge Street,Denby Road,1,0
Chestnut Hill Avenue,Academy Hill Road,1,0
Beacon Street,Raleigh Street,1,0
Georgia Street,Blue Hill Avenue,0,1
Centre Street,Walter Street,1,0
Cobden Street,Washington Street,0,1
Fawndale Road,Washington Street,0,1
Park Plaza,Columbus Avenue,0,1
La Grange Street,Centre Street,0,1
Mountfort Street,Commonwealth Avenue,0,1
North Washington Street,Thacher Street,1,0
Staniford Street,Lomasney Way,0,1
Washington Street,Kneeland Street,1,0
Main Street,Oak Street,1,0
Huntington Avenue,Evans Way,1,0
Dudley Street,Warren Street,0,1
Centre Street,Goodrich Road,1,0
Saratoga Street,Moore Street,1,0
Dorchester Avenue,Savin Hill Avenue,1,0
Chestnut Hill Avenue,Englewood Avenue,1,0
Columbia Road,East Cottage Street,1,0
Massachusetts Avenue,Rusfield Street,1,0
Dudley Street,Washington Street,0,1
Washington Street,Bartlett Street,1,0
Boylston Street,Charles Street South,1,0
Huntington Avenue,Fencourt Street,1,0
Perkins Street,Pond View Avenue,1,0
Columbia Road,Quincy Street,1,0
Highgate Street,Cambridge Street,0,1
Neponset Avenue,Saco Street,1,0
Meridian Street,Falcon Street,1,0
Adams Street,Christopher Street,1,0
Commonwealth Avenue,Charlesgate West,1,0
South Street,Achorn Circle,1,0
Washington Street,Walnut Park,1,0
Blue Hill Avenue,Moreland Street,1,0
Dorchester Avenue,East Street,1,0
Dorchester Avenue,Banton Street,1,0
Fenway,Boylston Street,0,1
Spice Street,Cambridge Street,0,1
Blue Hill Avenue,Norfolk Street,1,0
Main Street,Austin Street,1,0
Boylston Street,Ipswich Street,1,0
Austin Street,Main Street,0,1
South Huntington Avenue,Craftson Way,1,0
South Munroe Terrace,Neponset Avenue,0,1
Bennington Street,Wordsworth Street,1,0
Centre Street,Harris Avenue,1,0
Main Street,SR 38,1,0
Saratoga Street,Curtis Street,1,0
Batterymarch Street,Milk Street,0,1
Westminster Avenue,Washington Street,0,1
Melnea Cass Boulevard,Massachusetts Avenue,0,1
Cambridge Street,I 93,1,0
Walnut Avenue,Seaver Street,1,0
Cummins Highway,Harding Road,1,0
Chestnut Street,Charles Street,1,0
High Street,Hancock Street,1,0
Devine Way,Dorchester Avenue,0,1
Blue Hill Avenue,Intervale Street,1,0
Ruggles Street,Tremont Street,1,0
Harvard Avenue,Brainerd Road,1,0
Blue Hill Avenue,Callender Street,1,0
Charles Street South,Boylston Street,0,1
Commonwealth Avenue Frontage Road Eb,Royce Road,1,0
Massachusetts Avenue,Peirson Street,1,0
Oakland Street,Faneuil Street,0,1
Main Street,Dorrance Street,1,0
West Cedar Street,Mount Vernon Street,0,1
Washington Street,Ukraine Way,1,0
Washington Street,Basile Street,1,0
Talbot Avenue,Talbot Place,1,0
West Broadway,D Street,0,1
Dorchester Avenue,Linden Street,1,0
Dorchester Avenue,Bellflower Street,1,0
Columbia Road,Elder Street,1,0
East Berkeley Street,Washington Street,0,1
Dorchester Avenue,O'Connor Way,1,0
Huntington Avenue,Shepherd Avenue,1,0
Dorchester Avenue,Gibson Street,1,0
Massachusetts Avenue,Shawmut Avenue,1,0
Washington Street,Ophir Street,1,0
Boylston Street,Clarendon Street,1,0
Cambridge Street,North Anderson Street,1,0
Centre Street,Sheridan Street,1,0
Boylston Street,Chestnut Avenue,1,0
Brookline Avenue,Massachusetts Turnpike,1,0
Massachusetts Avenue,Pierre Lallement Bike Path,1,0
Cambridge Street,Brighton Street,1,0
Washington Street,Lochdale Road,1,0
Centre Street,Pond Street,1,0
Transit Street,Dorchester Avenue,0,1
Centre Street,Corey Street,1,0
Preble Street,Dorchester Avenue,0,1
Cambridge Street,Spice Street,1,0
Mount Vernon Street,Charles Street,1,0
Brighton Avenue,Chester Street,1,0
Cambridge Street,Tremont Street,1,0
Washington Street,Schubert Street,1,0
Western Avenue,Everett Street,1,0
Park Drive,Beacon Street,0,1
Adams Street,Leonard Street,1,0
