COUNT,ST_NAM,LENGTH
1,Woodbole Avenue,2327.4339440000003
1,Gallivan Boulevard,15419.236161
1,Maple Street,6936.988492
1,Train Street,2602.8294849999997
1,Franklin Hill Avenue,1095.1281199999999
1,Canal Street,950.5318139999999
1,Ceylon Street,1363.044844
1,Dacia Street,1658.4201930000002
1,Rill Street,575.899999
1,Massachusetts Turnpike,98942.82210299995
1,Wheatland Avenue,1724.941221
1,Church Street,6673.072634
1,Firth Road,847.8112039999999
1,Homes Avenue,2184.7034049999997
1,Trinity Place,544.171679
1,Westminster Avenue,1114.140543
1,Broad Street,1217.449251
1,Forest Hills Street,4884.133309999999
1,Pond Street,7281.670268000002
1,Parkside Drive,1543.240108
1,Hadassah Way,268.401296
1,Southern Avenue,1878.5790110000003
1,Hall Street,911.517311
1,Erie Street,2635.208453
1,Fairfield Street,1581.356133
1,Lomasney Way,1444.410991
1,Barrows Street,310.066107
1,Melville Avenue,3021.922444
1,Highland Street,6646.953318000002
1,Roxbury Street,2147.287161
1,Fowler Street,1281.706836
1,Florence Street,3166.3788149999996
1,Hamlet Street,447.630954
1,Custer Street,1045.715936
1,New Minton Street,363.993712
1,Humphreys Street,1358.090179
1,Aberdeen Street,430.703076
1,Heath Street,4576.659477000001
1,Quincy Street,5782.159742999999
1,Wenham Street,1329.307401
1,Patterson Way,1021.9779279999999
1,Cedar Street,6008.635166
1,Park Plaza,892.3159840000001
1,Rusfield Street,418.15907400000003
1,Grove Street,6059.851237
1,Stoughton Street,2005.697984
1,Old Road,744.175973
1,Locust Street,892.8677389999999
1,Westglow Street,1642.276899
1,Raldne Road,918.260276
1,Cunningham Street,565.299926
1,Callender Street,3133.91473
1,Havre Street,3270.2403749999994
1,Walworth Street,3606.6159979999998
1,Keswick Street,320.583962
1,Spice Street,495.880979
1,Bellvista Road,865.602835
