FID,OBJECTID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Network,InstallDat,ExisFacil,Rec1,Rec2,Road,Divided,CurbtoCurb,KeyBus,LengthMi,BikeInvent,RoadSegmen,Spine,TravelLane,OneWay,WorkplanDa,Agent,Designer,EngStatus,ProjectedI,FiveYearPl,Shape_Leng
323,177,Dorchester Avenue,5686900,3,2,1,2011,SLM, , ,1,0,0,0,0.026519,0,5686900,0,2,B,0,MassDOT,HSH,0,0,0,42.679055
324,647,Dorchester Avenue,5590100,3,2,1,2011,CL,CT2-1, ,1,0,50,0,0.074379,0,5590100,1,4,B,0,MassDOT,HSH,0,0,0,119.702211
325,648,Massachusetts Avenue,5831400,3,2,1,2011,BL, , ,1,1,0,1,0.109186,0,5831400,0,2,FT,0,Boston Bikes,TDG,0,0,0,175.718439
326,178,Adams Street,5186900,5,2,1,2013,SLM, , ,1,0,26,0,0.050503,0,5186900,0,2,B,0,Boston Bikes,TDG,0,0,0,81.277568
327,649,Columbus Avenue,5845500,3,2,1,2009,BL,CT1-2, ,1,0,0,0,0.049989,0,5845500,1,2,B,0,BTD,VHB,0,0,0,80.449765
328,650,Dartmouth Street,4523800,5,2,1,2011,SLM, , ,1,0,0,0,0.033602,0,4523800,0,2,B,0,Boston Bikes,TDG,0,0,0,54.077835
329,179,Adams Street,5186800,5,2,1,2013,SLM, , ,1,0,26,0,0.051578,0,5186800,0,2,B,0,Boston Bikes,TDG,0,0,0,83.00621
330,651,Columbia Road,5392300,5,2,1,2010,SLM,CT1-1,BL,1,1,60,0,0.036481,0,5392300,1,2,FT,0,Boston Bikes,TDG,0,0,0,58.711007
331,652,Talbot Avenue,5847400,5,2,1,2010,SLM,BL, ,1,0,0,1,0.045695,0,5847400,0,2,B,0,Boston Bikes,TDG,0,0,0,73.539455
332,653,Talbot Avenue,5759500,5,2,1,2010,SLM,BL, ,1,0,0,1,0.014694,0,5759500,0,2,B,0,Boston Bikes,TDG,0,0,0,23.647656
333,180,Columbia Road,6284700,5,2,1,2010,SLM,CT1-1,BL,1,1,60,1,0.026115,0,6284700,1,2,FT,0,Boston Bikes,TDG,0,0,0,42.027625
334,654,Talbot Avenue,4839200,5,2,1,2010,SLM,BL, ,1,0,0,1,0.029755,0,4839200,0,2,B,0,Boston Bikes,TDG,0,0,0,47.88544
335,181,Columbia Road,5764300,5,2,1,2010,SLM,CT1-1,BL,1,1,60,1,0.029617,0,5764300,1,3,FT,0,Boston Bikes,TDG,0,0,0,47.663254
336,655,Columbia Road,6239000,5,2,1,2010,BL,CT1-1, ,1,1,0,0,0.044541,0,6239000,1,3,FT,0,Boston Bikes,TDG,0,0,0,71.681255
337,182,Columbia Road,6242400,5,2,1,2010,BL,CT1-1, ,1,1,0,0,0.04493,0,6242400,1,2,FT,0,Boston Bikes,TDG,0,0,0,72.307892
338,183,Columbia Road,5242000,5,2,1,2010,SLM,CT1-1, ,1,1,0,0,0.066738,0,5242000,1,4,FT,0,Boston Bikes,TDG,0,0,0,107.405157
339,656,Columbia Road,5733000,5,2,1,2010,BFBL,CT1-1, ,1,1,0,0,0.054085,0,5733000,1,2,FT,0,Boston Bikes,TDG,0,0,0,87.04186
340,657,Dartmouth Street,4525400,5,2,1,2011,SLM, , ,1,0,0,0,0.020399,0,4525400,0,2,B,0,Boston Bikes,TDG,0,0,0,32.82925
